hito1;hito2;exitosos;fallidos;sol1;programa
0.0;0;0;16;1.6;UNAB11500
0.0;0.0;0;31;1.6;UNAB11500
0.0;0;0;16;1.6;UNAB11500
32.0;0.0;16;15;1.6;UNAB12210
12.0;0;7;9;1.6;UNAB12210
7.0;0.0;5;26;1.6;UNAB12100
13.0;0;6;10;1.7;UNAB21500
10.0;0;6;10;1.7;UNAB11500
0.0;0;0;16;1.7;UNAB12100
0.0;0;0;16;1.7;UNAB11500
7.0;0.0;5;26;1.7;UNAB11500
0.0;0;0;16;1.8;UNAB22510
15.0;0;8;8;1.8;UNAB12100
26.0;0.0;14;17;1.8;UNAB12210
4.0;0;3;13;1.8;UNAB11500
7.0;0;4;12;1.8;UNAB22100
5.0;0;4;12;1.8;UNAB11500
0;0;0;0;1.9;UNAB12100
15.0;0;9;7;1.9;UNAB11500
2.0;0;2;14;2;UNAB21500
16.0;0;9;7;2;UNAB22100
0;0;0;0;2;UNAB12100
1.0;0;1;15;2;UNAB11500
4.0;0;3;13;2.1;UNAB22510
0;0;0;0;2.1;UNAB12210
17.0;0.0;10;21;2.1;UNAB11500
21.0;0;11;5;2.1;UNAB11500
6.0;0;4;12;2.1;UNAB21500
11.0;0;6;26;2.2;UNAB21500
0.0;0;0;16;2.2;UNAB22115
5.0;0;3;13;2.2;UNAB22115
0;0;0;0;2.2;UNAB22115
3.0;0;3;13;2.2;UNAB22115
23.0;0.0;12;19;2.2;UNAB22510
8.0;0.0;6;25;2.2;UNAB22115
8.0;0;6;10;2.2;UNAB22100
26.0;0;13;3;2.2;UNAB12510
0.0;0;0;16;2.2;UNAB12100
0;0;0;0;2.2;UNAB11500
0;0;0;0;2.2;UNAB11500
2.0;0.0;1;30;2.2;UNAB12100
16.0;0.0;8;23;2.2;UNAB12210
3.0;0;3;13;2.2;UNAB11500
7.0;0;5;11;2.2;UNAB12100
0;0;0;0;2.2;UNAB11500
8.0;0;5;11;2.2;UNAB12210
0;0;0;0;2.2;UNAB11500
0;0;0;0;2.2;UNAB11500
5.0;0.0;4;27;2.2;UNAB11500
25.0;0.0;14;17;2.2;UNAB11500
0;0;0;0;2.2;UNAB12100
0;0;0;0;2.2;UNAB12100
1.0;0;1;15;2.2;UNAB12100
15.0;0;9;7;2.2;UNAB11500
8.0;0.0;5;26;2.2;UNAB12100
20.0;0;11;5;2.2;UNAB11500
11.0;0;6;10;2.2;UNAB12100
10.0;0.0;6;25;2.2;UNAB12100
8.0;0.0;4;27;2.2;UNAB12100
15.0;0.0;9;22;2.2;UNAB12100
0;0;0;0;2.2;UNAB12210
8.0;0.0;5;26;2.2;UNAB11500
10.0;0;7;9;2.2;UNAB12100
0;0;0;0;2.2;UNAB12100
28.0;0.0;15;16;2.2;UNAB11500
17.0;0;10;6;2.2;UNAB11500
8.0;0;4;12;2.2;UNAB12100
2.0;0;2;14;2.2;UNAB12210
25.0;0.0;12;19;2.2;UNAB12210
10.0;0;6;10;2.2;UNAB12100
0;0;0;0;2.2;UNAB12100
0;0;0;0;2.2;UNAB11500
5.0;0;4;12;2.4;UNAB22510
0;0;0;0;2.4;UNAB12100
29.0;0.0;15;16;2.4;UNAB11500
4.0;0.0;3;28;2.4;UNAB11500
0.0;0;0;16;2.4;UNAB11500
11.0;0.0;6;25;2.4;UNAB12210
0.0;0;0;16;2.4;UNAB12100
4.0;0;3;13;2.4;UNAB12210
3.0;0;3;13;2.4;UNAB12210
29.0;0.0;14;17;2.4;UNAB11500
12.0;0.0;9;38;2.4;UNAB12210
19.0;0;11;5;2.4;UNAB22100
19.0;0;11;5;2.4;UNAB22100
17.0;0;10;6;2.5;UNAB22100
10.0;0;7;9;2.5;UNAB22115
21.0;0;12;4;2.5;UNAB22510
15.0;0;9;7;2.5;UNAB22510
0;0;0;0;2.5;UNAB22510
7.0;0.0;5;26;2.5;UNAB11500
0.0;0.0;0;31;2.5;UNAB22115
32.0;0;16;0;2.5;UNAB21500
13.0;0.0;8;23;2.5;UNAB12100
18.0;0.0;10;21;2.5;UNAB11500
42.0;12.0;26;37;2.5;UNAB21500
3.0;0;3;13;2.5;UNAB22510
11.0;0;7;9;2.6;UNAB22115
10.0;0.0;7;24;2.6;UNAB12100
1.0;0;1;15;2.6;UNAB11500
7.0;0;5;11;2.6;UNAB22100
0;0;0;0;2.6;UNAB12210
0.0;0;0;16;2.6;UNAB12100
2.0;0;2;14;2.6;UNAB12210
20.0;0;11;5;2.6;UNAB12510
27.0;0;14;2;2.7;UNAB21500
3.0;0;3;13;2.7;UNAB12210
13.0;0.0;8;23;2.7;UNAB12100
2.0;0;2;14;2.7;UNAB12100
27.0;0;14;2;2.7;UNAB12100
14.0;0;8;8;2.7;UNAB11500
11.0;0;7;9;2.7;UNAB12100
23.0;0.0;13;18;2.8;UNAB22115
2.0;0;2;14;2.8;UNAB12100
0.0;0;0;16;2.8;UNAB22100
11.0;0;7;9;2.8;UNAB22115
0;0;0;0;2.8;UNAB22115
2.0;0;1;15;2.8;UNAB21500
25.0;0;13;3;2.8;UNAB22115
0;0;0;0;2.8;UNAB21500
0;0;0;0;2.8;UNAB12100
0;0;0;0;2.8;UNAB12210
18.0;0.0;10;21;2.8;UNAB12100
0.0;0;0;16;2.8;UNAB11500
0.0;0;0;16;2.8;UNAB12100
0.0;0;0;16;2.8;UNAB12100
10.0;0;6;10;2.8;UNAB12210
10.0;0;7;9;2.8;UNAB12100
32.0;0;16;0;2.8;UNAB12210
24.0;0;13;3;2.8;UNAB11500
13.0;0;7;9;2.8;UNAB12510
0.0;0;0;16;2.8;UNAB12100
12.0;0;8;8;2.8;UNAB11500
21.0;0;11;5;2.8;UNAB12210
7.0;0;5;11;2.8;UNAB12100
0;0;0;0;2.8;UNAB12210
3.0;0;3;13;2.8;UNAB12210
0;0;0;0;2.8;UNAB12100
2.0;0;2;14;2.8;UNAB12100
19.0;0.0;10;21;2.8;UNAB12210
0;0;0;0;2.8;UNAB11500
20.0;0;10;6;2.8;UNAB12210
0.0;0;0;16;2.8;UNAB12100
17.0;0;10;6;2.8;UNAB12100
7.0;0;4;12;2.8;UNAB12100
3.0;0.0;1;30;2.8;UNAB12210
15.0;0;9;7;2.8;UNAB11500
13.0;0;7;9;2.8;UNAB12100
0.0;0;0;16;2.8;UNAB12100
10.0;0;6;10;2.8;UNAB12100
0;0;0;0;2.8;UNAB12210
23.0;0;12;4;2.9;UNAB11500
0;0;0;0;3;UNAB22115
7.0;0;5;11;3;UNAB22115
11.0;0;7;9;3;UNAB22115
0;0;0;0;3;UNAB22115
12.0;0.0;7;24;3;UNAB22100
10.0;0.0;7;24;3;UNAB12100
0;0;0;0;3;UNAB11500
5.0;0;4;12;3;UNAB12100
12.0;0.0;7;24;3;UNAB12210
15.0;0;9;7;3;UNAB12210
22.0;0;12;4;3.1;UNAB22115
8.0;0;6;10;3.1;UNAB22115
32.0;0.0;16;15;3.1;UNAB22115
7.0;0;4;12;3.1;UNAB22115
30.0;0.0;15;16;3.1;UNAB12210
26.0;0;12;4;3.1;UNAB12210
18.0;0;9;7;3.1;UNAB12210
13.0;0;6;10;3.1;UNAB21500
15.0;0.0;9;22;3.1;UNAB21500
13.0;0;8;8;3.2;UNAB22100
31.0;0.0;15;16;3.2;UNAB21500
24.0;0;13;3;3.2;UNAB11500
14.0;0.0;8;23;3.2;UNAB12210
20.0;0;11;5;3.2;UNAB12100
10.0;0;7;9;3.2;UNAB12100
7.0;0;5;11;3.2;UNAB11500
10.0;0;6;10;3.2;UNAB11500
13.0;0;8;8;3.2;UNAB22510
0;0;0;0;3.3;UNAB21500
10.0;0;6;10;3.3;UNAB12100
20.0;0;11;5;3.3;UNAB18000
6.0;0;4;12;3.3;UNAB12100
7.0;0;5;11;3.3;UNAB12100
14.0;0;8;8;3.4;UNAB22115
28.0;0.0;15;16;3.4;UNAB22115
25.0;0;13;3;3.4;UNAB22115
13.0;0;8;8;3.4;UNAB22100
2.0;0;2;14;3.4;UNAB22115
22.0;0;11;5;3.4;UNAB12100
13.0;0;8;8;3.4;UNAB12210
18.0;0;10;6;3.4;UNAB11500
31.0;0;15;1;3.4;UNAB12210
7.0;0.0;5;26;3.4;UNAB12100
14.0;0;8;8;3.4;UNAB11500
0.0;0;0;16;3.4;UNAB11500
0.0;0;0;16;3.4;UNAB18000
20.0;0.0;11;20;3.4;UNAB12510
12.0;0.0;8;23;3.4;UNAB12100
12.0;0.0;7;24;3.4;UNAB12100
3.0;0;3;13;3.4;UNAB12100
5.0;0.0;4;27;3.4;UNAB12210
32.0;32.0;26;5;3.4;UNAB11500
30.0;0.0;15;16;3.4;UNAB12210
26.0;0.0;12;19;3.4;UNAB11500
0;0;0;0;3.4;UNAB12100
8.0;0;4;12;3.4;UNAB12100
10.0;0;7;9;3.4;UNAB12100
13.0;0.0;7;24;3.4;UNAB12100
24.0;0.0;12;19;3.4;UNAB12210
8.0;0;4;12;3.4;UNAB12100
8.0;0;5;11;3.4;UNAB12100
8.0;0.0;5;26;3.4;UNAB12100
17.0;0.0;10;21;3.4;UNAB12100
10.0;0;7;9;3.4;UNAB12100
4.0;0;3;13;3.4;UNAB11500
0.0;0;0;16;3.4;UNAB11500
8.0;0;5;11;3.4;UNAB12210
9.0;0;6;10;3.4;UNAB12100
15.0;0;9;7;3.4;UNAB12100
13.0;0;8;8;3.4;UNAB12210
24.0;0.0;12;19;3.4;UNAB12510
8.0;0;6;10;3.4;UNAB11500
15.0;0;9;7;3.4;UNAB12100
0;0;0;0;3.4;UNAB12510
15.0;0;9;7;3.4;UNAB12100
0.0;0;0;16;3.4;UNAB12100
23.0;0.0;12;19;3.5;UNAB22510
18.0;0.0;10;21;3.5;UNAB21503
26.0;0;14;2;3.5;UNAB22510
15.0;0;8;8;3.5;UNAB21500
13.0;0;7;9;3.5;UNAB12100
15.0;0;8;8;3.5;UNAB11500
10.0;0;6;10;3.5;UNAB21500
0;0;0;0;3.5;UNAB11500
2.0;0;2;14;3.5;UNAB12210
0;0;0;0;3.5;UNAB12100
10.0;0;6;10;3.6;UNAB22115
0;0;0;0;3.6;UNAB12210
11.0;0;7;9;3.6;UNAB22115
0;0;0;0;3.6;UNAB12100
10.0;0;7;9;3.6;UNAB12100
12.0;0;7;9;3.6;UNAB12100
3.0;0;3;13;3.6;UNAB12100
20.0;0;11;5;3.6;UNAB12100
0;0;0;0;3.6;UNAB22115
10.0;0;6;10;3.6;UNAB12100
27.0;0;14;2;3.6;UNAB11500
3.0;0.0;3;28;3.7;UNAB21503
0;0;0;0;3.7;UNAB21503
21.0;0;12;4;3.7;UNAB22115
25.0;0;13;3;3.7;UNAB22115
11.0;0;7;9;3.7;UNAB22115
0;0;0;0;3.7;UNAB12210
13.0;0;7;9;3.7;UNAB12100
5.0;0.0;3;28;3.7;UNAB12210
12.0;0;7;9;3.7;UNAB21500
10.0;0;6;10;3.7;UNAB22100
26.0;0.0;13;18;3.7;UNAB11500
9.0;0;6;10;3.7;UNAB12100
25.0;0;13;3;3.7;UNAB12210
15.0;0.0;9;22;3.7;UNAB11500
23.0;0.0;12;19;3.7;UNAB11500
27.0;0;14;2;3.7;UNAB12100
32.0;0.0;16;15;3.7;UNAB12210
22.0;0.0;12;19;3.7;UNAB11500
23.0;0;12;4;3.7;UNAB11500
13.0;0.0;6;25;3.7;UNAB11500
32.0;0.0;16;15;3.7;UNAB12210
16.0;0;10;6;3.7;UNAB12100
32.0;0.0;16;15;3.7;UNAB12210
6.0;0;4;12;3.7;UNAB22115
21.0;0.0;10;21;3.7;UNAB12510
15.0;0;9;7;3.7;UNAB11500
18.0;0;10;6;3.8;UNAB22100
19.0;0;10;6;3.8;UNAB12100
8.0;0;5;11;3.8;UNAB12100
20.0;0;11;5;3.8;UNAB12210
17.0;0.0;10;21;3.8;UNAB12210
17.0;0;10;6;3.8;UNAB11500
8.0;0.0;6;25;3.8;UNAB11500
23.0;0;12;4;3.9;UNAB22510
0.0;0;0;16;3.9;UNAB11500
20.0;0.0;11;20;3.9;UNAB12210
10.0;0;6;10;3.9;UNAB12210
22.0;0;12;4;3.9;UNAB11500
27.0;0;14;2;3.9;UNAB21500
17.0;0;10;6;4;UNAB22115
20.0;0.0;11;20;4;UNAB22115
7.0;0;5;11;4;UNAB22115
1.0;0;1;15;4;UNAB22115
3.0;0;3;13;4;UNAB22100
29.0;0.0;15;16;4;UNAB21500
3.0;0;3;13;4;UNAB11500
0.0;0;0;16;4;UNAB12210
24.0;0;12;4;4;UNAB12510
19.0;0;10;6;4;UNAB11500
13.0;0;7;9;4;UNAB12100
20.0;0;11;5;4;UNAB12210
29.0;0.0;15;16;4;UNAB12210
17.0;0;10;6;4;UNAB12210
17.0;0.0;10;21;4;UNAB12100
0.0;0;0;16;4;UNAB12210
20.0;0;11;5;4;UNAB12510
18.0;0;10;6;4;UNAB11500
14.0;0.0;7;24;4;UNAB12210
11.0;0;6;10;4;UNAB12100
7.0;0.0;5;26;4;UNAB11500
13.0;0;8;8;4;UNAB12100
13.0;0;9;7;4;UNAB12210
14.0;0;8;8;4;UNAB11500
0;0;0;0;4;UNAB11500
13.0;0;7;9;4;UNAB12100
10.0;0;7;9;4;UNAB12210
23.0;0;13;3;4;UNAB11500
20.0;0.0;10;21;4;UNAB12210
5.0;0;4;12;4;UNAB11500
0.0;0;0;16;4;UNAB12100
12.0;0;7;9;4;UNAB12100
15.0;0;9;7;4;UNAB12100
17.0;0;10;6;4.1;UNAB21500
0.0;0;0;16;4.1;UNAB12210
8.0;0;6;10;4.1;UNAB22100
9.0;0;6;10;4.1;UNAB22100
10.0;0;6;10;4.1;UNAB21500
13.0;0;7;9;4.1;UNAB12100
0;0;0;0;4.2;UNAB22115
12.0;0;7;9;4.2;UNAB22100
10.0;0;7;9;4.2;UNAB22100
10.0;0;5;11;4.2;UNAB21500
20.0;0;11;5;4.2;UNAB21500
32.0;0;16;0;4.2;UNAB22510
12.0;0;8;8;4.2;UNAB12100
22.0;0.0;12;19;4.2;UNAB12100
20.0;0;11;5;4.2;UNAB12210
23.0;0;13;3;4.2;UNAB11500
32.0;0;16;0;4.2;UNAB21500
19.0;0.0;11;20;4.2;UNAB22510
7.0;0;5;11;4.2;UNAB12100
29.0;0.0;14;17;4.3;UNAB11500
18.0;0.0;11;20;4.3;UNAB22100
27.0;0;13;3;4.3;UNAB21500
3.0;0;3;13;4.3;UNAB22115
17.0;0.0;10;21;4.3;UNAB22115
15.0;0.0;7;24;4.3;UNAB12100
21.0;0;12;4;4.3;UNAB11500
9.0;0.0;7;40;4.3;UNAB11500
12.0;0.0;7;24;4.3;UNAB12100
11.0;0;7;9;4.3;UNAB11500
15.0;0;9;7;4.3;UNAB11500
32.0;0.0;16;15;4.3;UNAB21500
19.0;0;11;5;4.3;UNAB22100
24.0;0.0;13;18;4.3;UNAB11500
23.0;0;13;3;4.4;UNAB22100
12.0;0;7;9;4.4;UNAB12210
38.0;6.0;28;35;4.4;UNAB12210
16.0;0.0;10;21;4.4;UNAB12100
22.0;0.0;12;19;4.4;UNAB12210
11.0;0.0;8;23;4.4;UNAB12210
5.0;0;4;12;4.4;UNAB11500
16.0;0;10;6;4.4;UNAB11500
32.0;0.0;16;15;4.4;UNAB12210
16.0;0;10;6;4.4;UNAB12210
10.0;0;6;10;4.5;UNAB22115
8.0;0.0;5;26;4.5;UNAB22510
7.0;0;5;11;4.5;UNAB12100
3.0;0.0;3;28;4.5;UNAB12100
12.0;0.0;8;23;4.5;UNAB12100
9.0;0.0;6;25;4.5;UNAB12100
24.0;0;13;3;4.5;UNAB11500
4.0;0;3;13;4.5;UNAB11500
17.0;0;9;7;4.5;UNAB11500
20.0;0;11;5;4.6;UNAB22510
