rut,t1,r1,p1,s1,l1,t2,r2,p2,s2,l2,t3,r3,p3,s3,l3,t4,r4,p4,s4,l4,t5,r5,p5,s5,l5,t6,r6,p6,s6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,score,score_a,score_p,score_d,score_s,programa,sol1,estado
179,26.500.862,1,1,[3 3 ] [1 1 2 2 2 ],7,167.471.077,3,10,[2 3 3 3 3 ] [1 1 1 1 2 ],10,348.720.231,8,19,[3 0 0 0 0 0 2 0 0 3 1 ] [2 3 0 0 0 0 2 2 2 2 0 ],22,106.178.032,3,3,[2 2 0 0 2 2 ] [3 3 3 3 ],10,1.390.863.637,6,8,[1 2 2 2 3 2 2 2 ] [3 3 ],10,966.657.313,1,2,[2 2 0 0 2 2 ] [2 3 1 1 1 1 ],12,1,1,0,1,0,0,1,1,0,1,1,1,71,884.622.297,43,1.874.461.038,8,5,3,3,2,INGENIERIA EN COMPUTACION E INFORMATICA,5.9,A
195,626.875.896,1,1,[3 3 3 ] [2 1 1 2 ],7,1.405.363.876,9,8,[2 3 3 3 3 3 ] [1 1 1 1 ],10,1.281.909.304,1,5,[0 3 0 0 0 0 2 3 1 3 3 3 ] [3 0 0 2 ],16,1.374.396.903,1,6,[2 2 1 0 2 ] [1 1 3 3 3 3 3 ],12,1.217.055.107,2,2,[1 2 2 1 1 ] [1 1 3 3 3 3 3 ],12,1.132.959.697,1,3,[2 2 0 0 0 0 2 ] [1 1 3 ],10,1,1,1,0,0,1,1,1,1,1,1,1,67,7.038.560.783,25,1.526.019.867,6,4,2,3,2,INGENIERIA CIVIL INDUSTRIAL,6.7,A
218,4.895.157.267,2,8,[3 3 3 0 0 3 3 ] [],7,1.148.441.373,4,36,[2 3 3 3 3 3 0 ] [1 1 1 ],10,218.702.312,5,57,[0 3 0 0 0 0 2 3 1 3 ] [3 0 0 2 2 2 ],16,80.660.985,3,13,[2 2 0 0 2 2 ] [3 3 3 3 ],10,1.052.618.607,4,17,[1 2 2 2 2 2 ] [3 3 ],8,40.689.853,2,10,[2 2 0 0 2 2 0 ] [1 1 1 ],10,1,1,1,1,1,1,1,1,1,1,1,1,61,6.091.107.207,141,2.049.771.962,7,5,2,2,3,INGENIERIA EN COMPUTACION E INFORMATICA,5,A
316,444.682.093,1,16,[3 1 3 3 3 0 3 0 0 ] [],9,507.365.574,2,14,[2 3 3 3 3 3 ] [1 1 1 1 ],10,88.267.233,1,20,[3 0 0 0 0 0 2 0 0 1 0 3 1 1 3 3 ] [3 0 0 2 2 ],21,400.993.656,1,4,[2 2 2 2 2 2 2 0 0 2 ] [],10,373.482.637,1,4,[1 1 1 3 2 2 2 2 2 2 2 0 0 ] [],13,613.902.003,2,7,[2 2 0 0 2 2 0 0 0 0 ] [],10,0,1,0,1,0,1,1,1,0,1,1,1,73,3.223.098.293,65,1.498.582.485,7,4,3,2,3,INGENIERIA EN COMPUTACION E INFORMATICA,6.9,A
330,2.581.874.334,1,2,[0 3 3 3 ] [2 2 1 ],7,3.928.607.833,2,5,[2 3 3 3 3 ] [1 1 1 1 2 ],10,714.399.777,1,8,[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,26.701.973,1,4,[2 2 0 0 2 2 ] [3 3 3 3 ],10,23.118.107,1,3,[1 2 2 ] [3 3 3 3 3 ],8,33.236.005,1,4,[2 2 0 0 2 2 ] [1 1 1 1 ],10,1,1,1,1,1,1,1,1,1,1,1,1,61,2.196.008.844,26,9.693.081.204,5,3,2,2,1,INGENIERIA CIVIL INDUSTRIAL,5.8,A
353,276.037.733,1,10,[3 1 3 3 0 ] [2 2 1 1 ],9,705.768.846,1,5,[2 3 3 3 3 3 ] [1 1 1 1 ],10,1.694.144.937,1,11,[3 0 0 0 0 0 2 3 1 3 3 3 ] [0 3 0 2 0 2 ],18,63.274.122,1,4,[2 2 0 0 2 2 2 2 2 ] [3 ],10,106.907.017,1,5,[1 2 2 1 1 ] [1 1 3 3 3 3 3 ],12,53.437.245,1,5,[2 2 0 0 2 2 0 ] [1 1 1 ],10,0,1,0,1,0,1,1,1,0,1,1,1,69,7.396.474.953,40,1.684.331.613,6,3,3,2,3,INGENIERIA CIVIL INDUSTRIAL,7,A
369,2.224.269.527,12,130,[2 3 3 0 0 3 ] [2 2 2 ],9,4.999.806,1,10,[2 3 3 3 3 3 ] [1 1 1 1 ],10,159.071.594,2,27,[0 3 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,44.618.697,1,5,[2 2 2 2 0 0 ] [3 3 3 3 ],10,65.304.009,1,3,[1 2 2 ] [1 1 3 3 3 3 3 0 0 ],12,929.178.446,1,7,[2 2 3 3 0 0 2 ] [1 1 1 1 3 3 3 ],14,0,1,1,1,0,0,1,1,1,1,1,1,71,6.343.371.573,182,2.484.673.692,6,3,3,1,2,INGENIERIA CIVIL INDUSTRIAL,6.3,A
451,368.407.706,7,41,[3 3 3 0 0 3 3 ] [],7,316.248.534,1,4,[2 3 3 3 3 ] [1 1 1 1 2 ],10,109.115.839,2,17,[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,386.285.033,1,2,[2 2 2 2 2 2 2 ] [3 1 1 ],10,47.938.837,1,4,[1 2 2 1 1 ] [1 1 3 3 3 3 3 ],12,77.925.654,2,7,[0 0 0 0 ] [3 3 1 1 3 3 ],10,1,1,1,1,0,1,1,1,1,1,1,1,65,6.736.413.927,75,1.771.366.176,7,4,3,2,3,INGENIERIA CIVIL INDUSTRIAL,6.9,A
2,8.559.673.437,1,8,[3 0 3 ] [2 1 2 2 ],7,2.170.711.803,7,16,[2 3 3 3 3 ] [1 1 1 1 2 ],10,15.040.652,1,11,[0 3 0 0 0 0 2 2 3 1 3 3 ] [3 0 0 2 2 ],17,967.101.003,1,5,[2 2 0 0 0 ] [3 1 1 3 3 3 0 0 3 3 ],15,59.137.248,1,2,[1 2 2 1 1 ] [1 1 3 3 3 3 3 ],12,102.937.465,2,7,[2 2 0 0 0 0 2 2 ] [1 1 ],10,1,1,0,0,0,1,1,1,0,0,1,1,71,711.859.248,49,1.744.534.334,8,5,4,3,2,INGENIERIA CIVIL INDUSTRIAL,5.6,A
90,6.303.929.867,4,7,[3 3 3 ] [2 2 1 1 ],7,1.264.886,3,7,[2 3 3 3 3 3 ] [2 1 1 1 1 1 0 ],13,24.444.514,3,20,[0 3 0 0 3 0 0 2 2 2 2 2 3 3 1 3 ] [3 0 0 2 2 3 3 1 3 0 2 2 ],28,4.949.366,1,2,[2 2 2 2 0 0 2 2 2 2 ] [],10,445.821,1,2,[1 2 2 2 2 2 ] [3 3 ],8,7.984.202,2,5,[0 0 0 0 2 2 2 2 ] [1 1 ],10,1,0,0,1,1,1,1,1,0,1,1,1,76,1.175.244.507,43,2.234.538.878,6,2,3,2,3,INGENIERIA CIVIL INDUSTRIAL,7,A
