rut,t1,r1,p1,s1,l1,t2,r2,p2,s2,l2,t3,r3,p3,s3,l3,t4,r4,p4,s4,l4,t5,r5,p5,s5,l5,t6,r6,p6,s6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,score,score_a,score_p,score_d,score_s,programa,sol1,estado
52,94.167.049,2,3,[3 3 3 3 0 2 ] [2 2 1 ],9,73.500.321,2,3,[2 3 3 3 3 3 ] [1 1 1 1 ],10,656.002.353,1,12,[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,474.502.374,1,2,[2 2 0 0 2 2 ] [3 3 3 3 ],10,463.167.163,1,5,[1 2 2 2 3 3 ] [3 3 3 3 3 3 3 2 ],14,68.050.406,2,8,[2 2 0 0 ] [1 1 1 1 3 3 ],10,0,1,1,1,0,1,1,1,1,1,1,1,69,395.084.965,33,1.308.988.376,8,5,4,2,3,INGENIERIA EN COMPUTACION E INFORMATICA,6.1,A
65,1.077.118.183,3,15,[3 ] [1 1 2 2 2 2 ],7,1.275.610.267,2,16,[2 3 3 3 3 3 0 ] [1 1 1 ],10,2.332.564.303,3,50,[0 3 0 0 0 0 2 ] [0 3 0 0 2 2 2 2 0 2 ],17,77.113.218,1,17,[2 2 2 0 0 2 0 0 0 0 1 1 2 2 ] [3 3 ],16,420.147.324,2,7,[1 2 2 2 2 2 2 2 ] [],8,40.898.112,1,9,[2 2 3 3 3 0 0 0 1 2 2 2 2 0 0 0 0 ] [],17,1,1,0,0,1,0,1,1,0,0,1,0,75,6.285.553.377,114,2.126.172.073,5,3,4,0,1,INGENIERIA EN COMPUTACION E INFORMATICA,6.8,A
108,1.970.189.113,2,23,[3 3 3 3 ] [2 1 1 ],7,11.560.953,1,12,[2 2 3 3 3 3 3 ] [1 1 1 1 2 ],12,3.329.647.077,2,32,[0 3 0 0 0 0 2 3 1 3 3 3 3 0 0 0 1 1 ] [3 ],19,518.753.991,11,111,[2 2 0 0 2 2 2 2 2 2 ] [2 ],11,89.927.014,2,10,[1 2 2 2 2 2 2 2 ] [],8,79.495.495,1,5,[2 2 0 0 2 2 0 0 0 0 ] [],10,1,0,0,0,1,1,1,1,0,1,1,1,67,1.333.769.649,193,3.163.186.934,3,0,2,1,1,INGENIERIA CIVIL INDUSTRIAL,6.2,A
121,895.692.063,2,3,[3 3 3 ] [2 2 2 1 1 3 ],9,1.302.631.987,3,9,[2 3 3 3 3 3 0 ] [1 1 1 ],10,2.498.506.147,4,9,[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,415.135.743,1,2,[2 2 2 2 0 0 ] [3 3 3 3 ],10,1.295.605.813,3,6,[1 2 2 2 2 2 ] [3 3 ],8,55.200.892,1,2,[1 2 2 0 0 2 2 0 ] [1 1 1 ],11,0,1,1,1,1,0,1,1,1,1,1,1,64,6.959.580.673,31,1.507.361.258,2,1,2,0,0,INGENIERIA CIVIL INDUSTRIAL,6.2,A
132,10.178.214,1,26,[2 0 0 3 0 1 ] [2 2 2 2 2 ],11,513.745.506,1,5,[2 3 3 3 3 3 ] [1 1 1 1 ],10,1.626.112.624,1,20,[3 0 0 0 0 0 2 3 2 0 3 0 1 1 1 1 1 1 ] [3 0 0 2 0 0 3 3 3 3 1 1 1 1 1 1 2 2 2 2 2 2 2 ],41,1.317.984.673,8,48,[2 2 2 2 0 0 0 1 2 2 2 ] [3 ],12,527.017.865,3,20,[1 2 2 1 1 ] [1 1 3 3 3 3 3 ],12,53.842.538,1,8,[2 2 0 0 0 0 2 2 2 3 ] [1 1 ],12,0,1,0,0,0,0,1,1,0,1,1,1,98,2.214.613.029,127,4.102.622.397,4,3,2,0,1,INGENIERIA CIVIL INDUSTRIAL,7,A
139,1.435.102.334,6,46,[3 3 3 0 ] [2 2 1 ],7,2.673.046,1,10,[2 3 3 3 3 3 0 0 ] [1 1 ],10,16.734.754,5,55,[3 0 0 0 0 0 2 3 ] [3 0 0 2 2 2 2 0 ],16,6.650.848,2,9,[2 2 0 0 2 2 ] [3 3 3 3 ],10,2.044.864,1,4,[1 2 2 ] [3 3 3 3 3 ],8,3.421.426,1,8,[2 2 3 3 0 0 2 ] [1 1 1 1 3 3 3 ],14,1,1,1,1,1,0,1,1,1,1,1,1,65,4.587.596.134,132,1.913.295.656,8,6,3,3,3,INGENIERIA CIVIL INFORMATICA,6.6,A
201,1.257.812.866,1,16,[3 3 3 0 3 0 2 ] [2 2 ],9,1.095.966.257,1,26,[2 3 3 3 3 3 3 3 0 0 2 2 ] [1 1 1 0 ],16,143.731.094,1,34,[3 3 3 3 3 3 3 3 3 0 2 0 2 ] [3 0 0 2 0 0 3 3 3 3 1 1 1 1 2 ],28,1.523.063.457,2,34,[2 2 2 2 0 2 1 2 ] [1 1 3 3 ],12,81.523.008,1,21,[2 0 2 2 ] [1 3 0 1 1 3 3 3 3 3 0 0 0 0 ],18,1.412.666.603,1,16,[2 2 3 3 0 0 0 0 2 2 ] [1 1 3 2 0 3 0 3 3 1 1 ],21,0,0,0,0,0,0,1,1,0,1,0,0,104,7.542.050.203,147,2.911.696.262,6,3,4,1,2,INGENIERIA CIVIL INDUSTRIAL,7,A
264,14.866.387,1,7,[3 1 3 3 3 0 0 0 ] [2 2 3 ],11,605.878.313,1,5,[2 3 3 3 3 3 ] [1 1 1 1 ],10,2.967.023.383,4,17,[0 3 0 0 0 0 2 3 2 2 3 ] [3 0 0 2 2 2 2 0 ],19,1.180.477.087,3,10,[2 2 0 0 2 2 ] [3 3 3 3 ],10,25.935.561,1,2,[1 2 2 ] [3 3 3 3 3 ],8,480.685.287,1,4,[2 2 0 0 1 2 0 ] [1 1 1 1 3 3 ],13,0,1,0,1,1,0,1,1,0,1,1,1,71,698.005.838,45,170.665.847,11,8,4,4,3,INGENIERIA CIVIL INDUSTRIAL,6.7,A
304,5.029.953.433,2,1,[0 3 3 3 ] [2 2 1 ],7,2.635.814.403,1,4,[2 3 3 3 3 3 ] [1 1 1 1 ],10,1.521.095.326,3,21,[0 3 0 0 1 0 0 0 2 ] [3 0 0 0 2 2 2 2 0 2 ],19,607.046.257,2,3,[2 2 0 0 2 2 ] [3 3 3 3 ],10,490.993.503,2,4,[1 2 2 2 2 2 2 ] [3 ],8,586.162.227,3,3,[0 0 0 0 ] [3 3 1 1 3 3 3 ],11,1,1,0,1,1,0,1,1,0,1,1,1,65,3.971.874.097,36,1.265.662.609,5,3,2,2,2,INGENIERIA EN COMPUTACION E INFORMATICA,7,A
324,3.706.702.433,1,9,[3 3 3 0 0 3 ] [2 ],7,42.484.005,1,9,[2 3 3 3 3 3 0 ] [1 1 1 ],10,9.763.467.997,2,16,[0 3 0 0 0 0 2 3 ] [3 0 0 0 2 2 3 2 2 2 0 ],19,60.017.515,1,7,[1 2 2 0 0 2 2 1 ] [1 1 3 3 3 3 0 ],15,32.017.014,1,5,[1 2 2 2 2 2 ] [2 3 3 3 ],10,46.117.367,1,7,[2 2 0 0 0 0 1 ] [1 1 1 1 3 3 0 ],14,1,1,0,0,0,0,1,1,0,0,1,1,75,3.153.376.053,53,1.450.195.371,9,5,5,3,3,INGENIERIA CIVIL INFORMATICA,6.2,A
